FUN_FACTS,LOCATIONS
"Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area.","Stockton Tunnel Southern Approach Overhang (Bush & Stockton Streets, C"
"The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.",Sheraton Palace Hotel (639 Market Street)
,Ritz-Carlton Hotel (600 Stockton Street)
"In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.",Presidio (Golden Gate National Recreation Area)
,Merchant Exchange Building
,Mason & California Streets (Nob Hill)
,Harrison Street (The Embarcadero)
,City Club (155 Sansome Street)
"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.",Bay Bridge
"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Bank of America Building (555 California Street)
,301 Howard Street
,1 Bush Street
,San Francisco Zoo (2701 Sloat Blvd.)
"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.",Bay Bridge
"Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city.",Telegraph Hill
,Market Street
"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Coit Tower
,1227 Montgomery Street
,Grant Ave from Sacramento to Clay
,Montgomery and Union St.
,Epic Roasthouse
,Players Arcade at Pier 39
,Coffee Dan's (O'Farrell Street at Powell)
"The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species.","Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)"
The Mandarin Theatre was renamed the Sun Sing Theatre in 1949. It closed 1986.,Mandarin Theatre (1021 Grant Avenue)
"The Playland amusement park where ""Hall of Mirrors"" sequence at the end of the movie was filmed has since been destroyed. However, relics from the park are now housed at the nearby Cliff House.",Golden Gate Park
,Former Hall of Justice (750 Kearny Street at Washington)
,Folsom btwn Cortland and Eugenia Ave
,Nevada St btwn Cortland and Jarboe Ave
Boat dock,900 Innes Ave
Bus stop,801 Innes Ave
Grandpa Allen's home,911 Innes Ave
,Mission btwn 16th and Cesar Chavez
,802 Steiner St
,Donahue and Innes Ave
,"Chateau Tivoli, 1057 Steiner St"
,Innes and Arelious Walker
,4704 3rd St
,Forest Hill MUNI Station
,Market/Portola btwn O'Shaughnessy and Castro
,Innes turning into Evans Ave
,3rd St btwn Evans and Oakdale
,Oakdale btwn 3rd and Bayshore
,959 South Van Ness Ave
,Shotwell St btwn 20th and 21st St
,"Ford's Grocery Store, 1496 Oakdale Ave"
,"Hotel Metropolis, 25 Mason St"
,Evans Ave/Hunters Pt Bvld btwn Keith and Hawes St
,Illinois St btwn Marin and Amador
,"Portola Rose Garden, 598 Hamilton St at Woolsey St"
,Castro and Market
,Eddy St btwn Leavenworth and Hyde St
,California Street Hill btwn Jones and Larkin
,California St and Gough btwn Geary and Jones
,"Red Building, 2567 Mission St"
,Haight and Belvedere
,Buena Vista East btwn Duboce and Haight
,"Sunset Super, 2425 Irving St"
,363 Lyon St
,415 Lyon St/355 Lyon St
,
,
In 1945 the United Nations had its first conference at The War Memorial Opera House.,War Memorial Opera House (401 Van Ness Avenue)
,The Embarcadero
,Sutro Baths (Point Lobos Avenue)
"The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species.","Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)"
,Pier 41
The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)"
,2090 Jackson Street
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.,100 Block of Lombard Street
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Ferry Building
,"Burritt Alley (Off Bush Street, between Powell and Stockton Streets)"
,Pier 7/ Embarcadero
,skyline/ exterior scenes
,"House of Nanking, 919 Kearny"
,Vallejo at Jones
,"The Avery, 488 Folsom"
,1 Front St
,465 California
,"Fitness SF, 1001 Brannan"
,Montgomery and Pine
,Montgomery between Washington and Bush
,44 Montogomery
,"Joe & The Juice, 235 Montgomery"
,California at Grant Ave
,Harry Bridges Plaza and Embarcadero
,Pier 14 San Francisco
,Powell between California and Market
,Fremont at Mission
,425 California
,Pine between Front and Montgomery
,150 California
,Pine and Grant Ave
,"Sansome, Sacramento, and California"
,155 California
,Moscone Convention Center
,Montgomery & Market Streets
,
,Hyde St at Pacific to Washington St
,Lafayette Park
,Washington btwn Gough and Octavia St
,Duncan St at Diamond Heights
,Broadway Tunnel
,1001 Vallejo St
,Taylor St btwn Green and Broadway
,16th Avenue Steps
,"Fairmont Hotel (950 Mason Street, Nob Hill)"
,724 Larkin St
,Ada Court at O'Farrell St
,Cameron House - 920 Sacramento St
,Waverly Pl btwn Washington and Clay St
,Pier 7
,Pier 43
,Washington at Taylor St - Jackson St
,SFPD Headquarters - 3rd St
,Mission Rock at 3rd St
,"Red's Java House (Pier 30-32, The Embarcadero)"
,SF War Memorial Opera House
,Washington at Maple
,1101 Green St
,Harrison St to Beale St to Bryant St
,
"Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.",Transbay Terminal (Mission Street at 1st Street)
"Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.","St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Palace of Fine Arts (3301 Lyon Street)
"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Administration Building (Treasure Island)
,135 Mississippi St
,Ft. Scott Ball Field
,3200 16th St at Guerrero
,"W Hotel, Trace bar - 181 3rd St."
,Farley's Coffee - 1315 18th St
,Texas at 17th St
,Brannan btwn 2nd and 5th St
,Zoe St btwn Brannan and Freelon St
,SF War Memorial Opera House
,Regency Ballroom - 1290 Sutter St
,Mash Transit - 284 Sanchez St
,16th St at Sanchez
,1423 Golden Gate Ave
,956 Pierce St
,22nd St btwn Carolina and Kansas
,Castro at 19th St
,Liberty St btwn Castro and Noe St
,Castro btwn Market and 19th St
,Vallejo at Montgomery St
,1151 Montgomery St
,3419 16th St
,18th btwn Dolores and Church
,Broadway at Taylor
,"Grid around North Beach, Chinatown, Financial District"
,Grid around Haight Ashbury
,"Grid around Financial District, SOMA"
,1 Zoe St
,Grid around Marina District
,Fisherman's Wharf
,Embarcadero btwn Rincon Park and Pier 23
,Grid around Union Square
,Grant Ave at Green St
,Sodini Restaurant - 510 Green St
,Tamarind Hall - 1268 Grant Ave
,Market at Cyril Magnin
,California btwn Taylor and Drumm - Cable Car Line
,Hyde btwn Jefferson and Broadway - Cable Car Line
,Elixir - 3200 16th St
,Transbay Terminal - Fremont at Minna
,Washington Street & Waverly Place (Chinatown)
,Sansome Street (The Embarcadero)
"In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.",Presidio (Golden Gate National Recreation Area)
,Montgomery & Vallejo Streets (Telegraph Hill)
,Market & 2nd Streets
,Hayes & Polk Streets (Civic Center)
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
"Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.","Fort Point (Presidio, Golden Gate National Recreation Area)"
"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Ferry Building
"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Coit Tower
,Civic Center Plaza
,Battery Street (The Embarcadero)
,900 Block of Grant Avenue (Chinatown)
,700 Block of Jackson Street (Chinatown)
,200 Block of Sansome Street (Financial District)
,724 Brazil Avenue
"Supposedly, Mikhail S. Gorbachev has said that his favorite part of visiting America was touring Fisherman's Wharf.",Fisherman's Wharf
,Firestation #3 (Brazil Avenue and Athens Street)
"The Musee Mechanique, which Julie Andrews' character visits in the movie, was at the time housed under the Cliff House.",Cliff House (1090 Point Lobos Avenue)
,Broadway Tunnel (Broadway between Powell and Larkin)
,Baker Beach
,2601 Lyon Street
,Glen Park Subway Station
,Glide Memorial Church (434 Ellis St)
"Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Candlestick Park (602 Jamestown Ave.)
Golden Gate Park is similar in shape but 20% larger than New York's Central Park.,Golden Gate Park Children's Playground
,"American Can Company (Between Illinois & Kentucky, 20th and 22nd Stree"
"Supposedly, the Cow Palace's name derives from a newspaper editorial in which the writer wonders whether the soon-to-be-built structure for livestock was a ""palace for cows"".",Cow Palace
"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",City Hall
,Financial District
"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Palace of Fine Arts (3301 Lyon Street)
,The San Francisco Bay
,New Russian Hill Market (1198 Pacific Avenue at Jones)
"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Fairmont Hotel (950 Mason Street, Nob Hill)"
"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Coit Tower
"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",City Hall
Alcatraz Island was a military fort before it became a prison.,Alcatraz Island
The size of the Recreation Area is over two and a half greater than that of the city and county of San Francisco.,Golden Gate National Recreation Area
Exteriors of the church were used.,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
"From 1910-1920 the Castro was called ""Little Scandinavia"" because of its high concentration of residents of Scandinavian ancestry.",The Castro
"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.","Bank of America Building (555 California Street, Financial District)"
,"San Francisco Fire Station 38 (2150 California Street, Pacific Heights"
,"Hyatt Regency Hotel (5 Embarcadero Center, Financial District)"
Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Grace Cathedral Episcopal Church (1100 California Street)
,Firestation #38 (California & Laguna)
"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Fairmont Hotel (950 Mason Street, Nob Hill)"
,2898 Vallejo Street
Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Grace Cathedral Episcopal Church (1100 California Street)
Golden Gate Park is similar in shape but 20% larger than New York's Central Park.,"The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)"
,Pleasant Street at Taylor
,Pier 7 (The Embarcadero)
,Montgomery Street at Union Street
The land on which the park stands was a cemetery until the late 1860s.,Lincoln Park
"The Japanese Hagiwara family invented ""Chinese"" fortune cookies in the tea-garden","Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park)"
"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",City Hall
The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,"Postcard Row (Alamo Square, Hayes Valley)"
,Brocklebank Apartments (1000 Mason Street)
"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Palace of Fine Arts (3301 Lyon Street)
,Montgomery Street at Union Street
,
,
,
,Lombard & Laguna Streets (Marina District)
,Lombard & Fillmore Streets (Marina District)
,Lombard & Divisadero Streets (Marina District)
,Lombard & Broderick Streets (Marina District)
,Justin Herman Plaza
,Intersection of Fulton & 6th Streets (Chinatown)
,Intersection of California & Grant Streets (Richmond District)
,Hyatt Regency Hotel (5 Embarcadero Center)
"The mansion of Arabella Huntington, widow of railroad magnate Collis P. Huntington, was destroyed in the 1906 earthquake and fire. Mrs. Huntington the donated the land on which the park now stands to the city.","Huntington Park (California & Taylor Streets, Nob Hill)"
Golden Gate Park is similar in shape but 20% larger than New York's Central Park.,Golden Gate Park
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
"In 1893, chocolatier Domingo Ghirardelli bought an entire city block to house the headquarters of Ghirardelli Chocolates.","Ghirardelli Square (900 North Point Street, Fisherman's Wharf)"
,Chestnut & Divisadero Streets (Marina District)
"Founded in 1853, 3 years after California joined the United States, the Academy was originally named the California Academy of Natural Sciences and was the first institution of its kind in the United States.",California Academy of Sciences (Golden Gate Park)
,Broadway at Osgood Street (North Beach)
,2340 Francisco Street
,100 Block of Union Street (Cow Hollow)
,Old St. Mary's Church (660 California Street at Grant)
United Nations Plaza was built in 1975 and across its walkways are white lines into which the preamble to the preamble of the UN charter is carved.,United Nations Plaza (Civic Center)
SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County.,"SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)"
"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Palace of Fine Arts (3301 Lyon Street)
,One Embarcadero Center (Financial District)
,Merchant Exchange (465 California Street at Leidesdorff)
"Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition.",Marina Green (Marina District)
,
,
,
"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",City Hall
,
,"Red's Java House (Pier 30-32, The Embarcadero)"
,Piers 30-32
,Pier 39
,Pier 24
,Mojito (1337-1339 Grant Avenue)
,"McCovey Point, China Basin Park (24 Willy Mays Plaza)"
,Veterans' War Memorial Building (401 Van Ness Avenue)
,
,La Bodega (1332 Grant Avenue at Vallejo)
Jack Kerouac was a regular at the café.,Vesuvio Café (255 Columbus Avenue)
,The Saloon (1232 Grant Avenue)
,Mecca Restaurant (2029 Market Street)
,"Tosca Café (242 Columbus Avenue, North Beach)"
,Project Artaud (Florida Street)
,Corona Heights Park
,544 Natoma (SOMA)
,422 Oak Street at Laguna
,3567 18th Street
,Under Highway 101 (near Potrero and Cesar Chavez Streets)
,O'Farrell between Leavenworth and Jones
,Grant Ave btwn California and Clay
,Grant Ave btwn Clay and Jackson
Motorcycle stunt scene,Kearny Steps/btwn Green and Pacific
,Taylor St Hill btwn Pacific and Greenwich
,"Huntington Park, Pine/Kearny, Bush/Hyde"
Motorcycle/SUV chase scene,"North Beach: Kearny/Vallejo, Kearny/Broadway, Broadway/Columbus"
,Embarcadero at Harrison St
Motorcycle/SUV chase scene,Stockton Tunnel btwn Sutter and Sacramento
Motorcycle/SUV chase scene,Grant Ave btwn Pine and Jackson
Motorcycle/SUV chase scene,California St btwn Drumm and Sansome
Motorcycle/SUV chase scene,Embarcadero btwn Folsom and Bryant
,Montgomery St and Vallejo St
,Grant Ave at Green St
,Geary St at Leavenworth St
,Romolo St and Fresno Pl
,Grant Ave btwn Washington and Jackson
,Hyde St at Chestnut St
,Washington Square Park - Filbert St at Stockton St
,Edinburgh Castle (950 Geary Street)
,Hemlock Alley btwn Polk and Larkin
,California St at Montgomery St
,Larkin St btwn Post and Geary
,Financial District
,Potrero Hill: Rhode Island btwn 15th and 16th
,"Epic Steakhouse, 369 Embarcadero"
,O'Farrell between Leavenworth and Jones
,Antonio Street
,238 Columbus
,"Grace Cathedral Church, 1100 California Street"
,Mariposa and DeHaro
,Coit Tower
,Palace of Fine Arts
,Sutter Stockton Garage
,6th Street and Jessie Street
,Beach and Larkin
,Montgomery and Green
"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Palace of Fine Arts (3301 Lyon Street)
,York Hotel (940 Sutter Street)
,San Francisco Drydock (20th and Illinois Streets)
This location is now a condominium complex.,Park Hill Sanatorium (351 Buena Vista Avenue East)
,Mission San Juan Bautista (2nd & Mariposa Streets)
"Mission Dolores' official name is Mission San Francisco de Assis. It is the oldest building in San Francisco, built in 1791, and has survived two major earthquakes.","Mission Dolores (3321 16th Street, Mission District)"
,Gough & Eddy Streets (Western Addition)
"Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.","Fort Point (Presidio, Golden Gate National Recreation Area)"
"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Fairmont Hotel (950 Mason Street, Nob Hill)"
"Called the ""Essex Club"" in the film.",Ernie's Restaurant (847 Montgomery Street)
"The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.",Conservatory of Flowers (Golden Gate Park)
,Claude Lane at Bush Street
"Built in 1924, the Legion of Honor is a 3/4 replica of the Parisian Palais de la Legion d'Honneur.","California Palace of the Legion of Honor (34th Avenue & Clement, Linco"
,Brocklebank Apartments (1000 Mason Street)
Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.,900 Lombard Street
Tennis courts now sit on the site; in the movie the structure was Carlota Valdes' home.,1007 Gough Street
"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Treasure Island
"Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.","St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
,San Francisco Hilton (333 O'Farrell Street)
,Lombard Street between Hyde and Leavenworth
,Hyde Street Pier
"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Chinatown
The park was originally a rock quarry and served as a campground for many survivors of the 1906 earthquake. The site was converted to a park in 1910.,Alta Plaza Park (Steiner Street)
,22nd Avenue & Balboa Street (Richmond District)
The size of the Recreation Area is over two and a half greater than that of the city and county of San Francisco.,Golden Gate National Recreation Area
,Buena Vista Café (2765 Hyde Street)
"The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.","Victor's Restaurant, The Westin St. Francis Hotel (335 Powell Street)"
,Spring Valley School (1451 Jackson Street)
,"International Studies Academy (993 Vermont Street, Potrero Hill)"
,Grant Street at Pacific Avenue
,Cybelle's Pizza (1000 Bush Street)
,766 Vallejo Street at Stockton Street (North Beach)
,1521 Masonic Avenue at Piedmont Street
"Exterior scenes include re-creating the White Night Riots on May 21, 1979 and the Gay Freedom March. Interior scenes included the wedding ceremony for Roma and Diane which had a few Board of Supervisors in the ceremony. The current Clerk for the Board of Supervisors played herself in one of the scenes filmed in the Chambers.",City Hall
,United Nations Plaza
,520 Castro St.
,"Castro Theatre, 429 Castro St."
,440 Castro St.
,Bay Bridge
,24th St. between Florida and Alabama
,"Harvey Milk Plaza, 17th and Castro"
,"Twin Peaks Bar, 401 Castro"
Roma Guy was one of the founders of the Women's Building,"Women's Building, 3543 18th St."
,Buena Vista Park
,Haight St. at Central
,"Eureka Arts Center, 4400 20th St."
,Castro St. between 17th and 18th St.
,426 Castro St.
,Powell St. at Market St.
,Former Hall of Justice (750 Kearny Street at Washington)
"The Emporium, a department store, stood in this location. Bloomingdale's is now located here.",835-865 Market Street at 5th Street
,819 Mason Street at Pine
"Called ""Man Loh's Oriental Roof Garden"" in the film.",772 Commercial Street at Kearney
,1801 Laguna at Bush
SF Cable Cars are the only moving National Historical Landmark.,Cable Car Signal Box (California Street at Powell Street)
,312 Fillmore Street
,Immaculate Conception Academy - 3625 24th St
,2712 Bryant St
,1132 Florida St
,44 Edna St
,St. John's United Church - 501 Laguna Honda Blvd.
,Laguna Honda Hospital - 375 Laguna Honda Blvd.
,1336 Rhode Island St
,Pop's Bar - 2800 24th St
,Dolores Park
,MUNI Yard - 425 Geneva Ave
,F Train Charter
,Capp St at 25th St
,1080 Capp St
,26 Edna St
,119 Vernon St
,3202 Folsom St
,110 Pierce St
,Balmy Alley
,
,SF Chronicle Building (901 Mission St)
